iter	Passed	Remaining
247	2783	8440
248	2793	8425
249	2803	8411
250	2813	8396
251	2824	8383
252	2834	8369
253	2844	8353
254	2854	8340
255	2864	8324
256	2874	8311
257	2885	8297
258	2895	8283
259	2906	8271
260	2916	8258
261	2926	8243
262	2937	8230
263	2946	8215
264	2958	8204
265	2969	8193
266	2979	8179
267	2989	8165
268	2999	8151
269	3009	8135
270	3019	8123
271	3029	8108
272	3039	8094
273	3049	8080
274	3059	8066
275	3070	8054
276	3080	8041
277	3090	8026
278	3102	8017
279	3112	8003
280	3123	7991
281	3134	7980
282	3144	7966
283	3155	7954
284	3166	7943
285	3178	7934
286	3188	7921
287	3199	7910
288	3209	7897
289	3220	7884
290	3231	7872
291	3241	7859
292	3252	7847
293	3263	7835
294	3273	7823
295	3284	7812
296	3295	7799
297	3305	7787
298	3316	7774
299	3326	7762
300	3337	7750
301	3347	7737
302	3358	7725
303	3368	7712
304	3379	7701
305	3390	7689
306	3400	7676
307	3411	7665
308	3421	7651
309	3432	7640
310	3442	7627
311	3453	7614
312	3463	7602
313	3473	7588
314	3483	7574
315	3493	7561
316	3503	7547
317	3513	7535
318	3523	7522
319	3533	7509
320	3544	7496
321	3553	7482
322	3564	7470
323	3574	7458
324	3584	7445
325	3596	7435
326	3606	7423
327	3616	7409
328	3626	7397
329	3636	7383
330	3647	7371
331	3657	7358
332	3667	7345
333	3677	7333
334	3687	7320
335	3698	7308
336	3708	7296
337	3718	7282
338	3728	7270
339	3739	7258
340	3748	7244
341	3759	7232
342	3769	7220
343	3779	7207
344	3789	7195
345	3800	7183
346	3811	7173
347	3822	7161
348	3832	7148
349	3842	7136
350	3852	7124
351	3862	7111
352	3873	7099
353	3882	7085
354	3893	7073
355	3903	7061
356	3913	7048
357	3923	7036
358	3933	7024
359	3943	7011
360	3953	6998
361	3964	6986
362	3974	6975
363	3984	6962
364	3995	6950
365	4005	6938
366	4015	6925
367	4026	6914
368	4036	6903
369	4046	6890
370	4057	6878
371	4067	6866
372	4077	6853
373	4087	6841
374	4097	6829
375	4107	6816
376	4117	6804
377	4127	6791
378	4138	6781
379	4148	6768
380	4158	6756
381	4168	6744
382	4178	6731
383	4188	6719
384	4198	6707
385	4208	6694
386	4219	6683
387	4230	6672
388	4240	6660
389	4251	6649
390	4261	6636
391	4271	6624
392	4284	6616
393	4295	6606
394	4306	6595
395	4318	6587
396	4329	6575
397	4339	6563
398	4350	6552
399	4359	6539
400	4370	6528
401	4380	6516
402	4391	6505
403	4401	6493
404	4411	6481
405	4421	6468
406	4431	6456
407	4441	6444
408	4454	6436
409	4464	6424
410	4474	6412
411	4485	6401
412	4495	6390
413	4505	6377
414	4515	6365
415	4525	6353
416	4535	6341
417	4546	6330
418	4556	6317
419	4566	6306
420	4577	6295
421	4587	6282
422	4597	6271
423	4608	6260
424	4618	6248
425	4629	6237
426	4639	6225
427	4649	6213
428	4660	6202
429	4670	6191
430	4681	6180
431	4691	6168
432	4701	6156
433	4712	6145
434	4723	6135
435	4734	6124
436	4745	6113
437	4754	6100
438	4764	6089
439	4775	6077
440	4784	6065
441	4795	6054
442	4805	6042
443	4815	6029
444	4825	6018
445	4835	6005
446	4845	5994
447	4855	5983
448	4865	5971
449	4876	5960
450	4888	5950
451	4897	5938
452	4922	5944
453	4933	5933
454	4944	5923
455	4955	5911
456	4965	5899
457	4976	5888
458	4988	5879
459	5000	5869
460	5012	5860
461	5023	5849
462	5034	5839
463	5045	5828
464	5057	5818
465	5068	5808
466	5079	5796
467	5090	5786
468	5102	5777
469	5113	5766
470	5125	5756
471	5136	5746
472	5149	5737
473	5161	5728
474	5173	5717
475	5184	5707
476	5196	5697
477	5208	5687
478	5219	5677
479	5230	5666
480	5246	5661
481	5259	5652
482	5271	5642
483	5283	5632
484	5293	5621
485	5306	5611
486	5318	5602
487	5329	5591
488	5340	5580
489	5351	5570
490	5361	5558
491	5371	5546
492	5382	5534
493	5391	5522
494	5402	5511
495	5411	5499
496	5422	5487
497	5432	5476
498	5442	5463
499	5452	5452
500	5462	5440
501	5472	5428
502	5482	5417
503	5492	5405
504	5503	5394
505	5514	5384
506	5525	5372
507	5535	5361
508	5546	5350
509	5556	5338
510	5567	5327
511	5577	5315
512	5587	5304
513	5597	5292
514	5607	5280
515	5618	5270
516	5629	5259
517	5640	5248
518	5651	5237
519	5661	5225
520	5671	5214
521	5681	5202
522	5691	5191
523	5701	5179
524	5711	5167
525	5721	5156
526	5733	5145
527	5743	5134
528	5753	5122
529	5763	5111
530	5773	5099
531	5784	5088
532	5794	5077
533	5804	5065
534	5815	5054
535	5825	5043
536	5835	5031
537	5845	5020
538	5855	5008
539	5865	4996
540	5875	4985
541	5885	4973
542	5895	4961
543	5905	4949
544	5914	4938
545	5925	4926
546	5935	4915
547	5946	4904
548	5956	4893
549	5966	4881
550	5977	4870
551	5987	4859
552	5996	4847
553	6007	4836
554	6016	4824
555	6027	4813
556	6037	4801
557	6047	4790
558	6057	4778
559	6067	4767
560	6078	4756
561	6088	4744
562	6098	4733
563	6108	4722
564	6118	4710
565	6128	4699
566	6139	4688
567	6150	4677
568	6161	4666
569	6171	4655
570	6181	4643
571	6191	4632
572	6201	4621
573	6211	4609
574	6221	4598
575	6231	4586
576	6242	4576
577	6253	4565
578	6264	4554
579	6275	4544
580	6285	4533
581	6295	4521
582	6306	4510
583	6315	4499
584	6326	4487
585	6336	4476
586	6346	4465
587	6357	4454
588	6368	4443
589	6377	4432
590	6388	4421
591	6398	4409
592	6408	4398
593	6419	4387
594	6429	4376
595	6439	4365
596	6449	4353
597	6459	4342
598	6472	4332
599	6504	4336
600	6516	4325
601	6531	4318
602	6542	4307
603	6553	4296
604	6565	4286
605	6575	4275
606	6586	4264
607	6597	4253
608	6609	4243
609	6620	4233
610	6632	4222
611	6643	4211
612	6654	4200
613	6665	4190
614	6675	4179
615	6686	4168
616	6697	4157
617	6707	4146
618	6718	4135
619	6729	4124
620	6740	4113
621	6750	4102
622	6762	4092
623	6773	4081
624	6784	4070
625	6795	4059
626	6805	4048
627	6816	4037
628	6827	4026
629	6837	4015
630	6848	4005
631	6860	3994
632	6869	3983
633	6880	3971
634	6890	3960
635	6900	3949
636	6911	3938
637	6920	3926
638	6931	3915
639	6940	3904
640	6950	3892
641	6960	3881
642	6971	3870
643	6982	3860
644	6993	3849
645	7003	3837
646	7014	3826
647	7024	3816
648	7034	3804
649	7044	3793
650	7054	3781
651	7065	3770
652	7075	3759
653	7085	3748
654	7096	3737
655	7106	3726
656	7116	3715
657	7126	3704
658	7136	3692
659	7146	3681
660	7157	3670
661	7166	3659
662	7178	3648
663	7190	3638
664	7200	3627
665	7210	3616
666	7220	3605
667	7231	3594
668	7242	3583
669	7253	3572
670	7263	3561
671	7273	3550
672	7284	3539
673	7295	3528
674	7307	3518
675	7317	3507
676	7328	3496
677	7339	3485
678	7349	3474
679	7362	3464
680	7373	3453
681	7383	3442
682	7396	3432
683	7407	3422
684	7417	3411
685	7428	3400
686	7439	3389
687	7448	3377
688	7459	3366
689	7469	3355
690	7478	3344
691	7489	3333
692	7498	3321
693	7508	3310
694	7519	3299
695	7528	3288
696	7539	3277
697	7549	3266
698	7558	3255
699	7568	3243
700	7578	3232
701	7589	3221
702	7599	3210
703	7610	3199
704	7621	3188
705	7631	3177
706	7640	3166
707	7651	3155
708	7660	3144
709	7671	3133
710	7681	3122
711	7690	3110
712	7701	3099
713	7710	3088
714	7720	3077
715	7731	3066
716	7740	3055
717	7751	3044
718	7761	3033
719	7772	3022
720	7782	3011
721	7793	3000
722	7804	2990
723	7815	2979
724	7825	2968
725	7836	2957
726	7846	2946
727	7856	2935
728	7867	2924
729	7876	2913
730	7888	2902
731	7898	2891
732	7907	2880
733	7918	2869
734	7928	2858
735	7938	2847
736	7948	2836
737	7958	2825
738	7968	2814
739	7979	2803
740	7988	2792
741	7999	2781
742	8009	2770
743	8019	2759
744	8030	2748
745	8040	2737
746	8051	2726
747	8061	2715
748	8070	2704
749	8081	2693
750	8091	2682
751	8101	2671
752	8111	2660
753	8120	2649
754	8131	2638
755	8141	2627
756	8151	2616
757	8162	2605
758	8171	2594
759	8182	2584
760	8192	2573
761	8202	2562
762	8213	2551
763	8224	2540
764	8234	2529
765	8245	2518
766	8255	2507
767	8265	2496
768	8275	2485
769	8285	2474
770	8296	2464
771	8306	2453
772	8316	2442
773	8327	2431
774	8336	2420
775	8346	2409
776	8356	2398
777	8366	2387
778	8376	2376
779	8386	2365
780	8396	2354
781	8407	2343
782	8417	2332
783	8428	2322
784	8438	2311
785	8450	2300
786	8460	2289
787	8470	2278
788	8480	2267
789	8491	2257
790	8500	2246
791	8511	2235
792	8521	2224
793	8530	2213
794	8541	2202
795	8551	2191
796	8561	2180
797	8571	2169
798	8581	2158
799	8591	2147
800	8601	2137
801	8611	2126
802	8622	2115
803	8631	2104
804	8641	2093
805	8652	2082
806	8663	2071
807	8674	2061
808	8686	2050
809	8696	2040
810	8708	2029
811	8720	2018
812	8730	2008
813	8742	1997
814	8754	1987
815	8765	1976
816	8776	1965
817	8786	1954
818	8796	1943
819	8806	1933
820	8816	1922
821	8826	1911
822	8836	1900
823	8846	1889
824	8856	1878
825	8867	1867
826	8878	1857
827	8888	1846
828	8898	1835
829	8908	1824
830	8919	1813
831	8929	1803
832	8939	1792
833	8950	1781
834	8959	1770
835	8970	1759
836	8981	1749
837	8990	1738
838	9001	1727
839	9010	1716
840	9021	1705
841	9030	1694
842	9040	1683
843	9051	1673
844	9061	1662
845	9071	1651
846	9082	1640
847	9092	1629
848	9102	1619
849	9113	1608
850	9123	1597
851	9133	1586
852	9143	1575
853	9153	1564
854	9163	1554
855	9173	1543
856	9184	1532
857	9195	1521
858	9205	1511
859	9217	1500
860	9228	1489
861	9238	1478
862	9249	1468
863	9259	1457
864	9270	1446
865	9282	1436
866	9300	1426
867	9311	1416
868	9320	1405
869	9331	1394
870	9341	1383
871	9350	1372
872	9361	1361
873	9371	1351
874	9381	1340
875	9392	1329
876	9401	1318
877	9412	1307
878	9422	1297
879	9432	1286
880	9442	1275
881	9452	1264
882	9463	1253
883	9473	1243
884	9483	1232
885	9493	1221
886	9504	1210
887	9514	1200
888	9525	1189
889	9535	1178
890	9545	1167
891	9556	1157
892	9566	1146
893	9577	1135
894	9588	1124
895	9597	1114
896	9607	1103
897	9617	1092
898	9628	1081
899	9638	1070
900	9648	1060
901	9658	1049
902	9668	1038
903	9678	1027
904	9689	1017
905	9699	1006
906	9710	995
907	9721	985
908	9732	974
909	9742	963
910	9752	952
911	9762	942
912	9773	931
913	9782	920
914	9793	909
915	9803	899
916	9813	888
917	9823	877
918	9833	866
919	9844	856
920	9854	845
921	9863	834
922	9874	823
923	9884	813
924	9894	802
925	9904	791
926	9914	780
927	9924	770
928	9935	759
929	9946	748
930	9957	737
931	9968	727
932	9977	716
933	9988	705
934	9998	695
935	10008	684
936	10019	673
937	10028	662
938	10039	652
939	10049	641
940	10059	630
941	10069	619
942	10079	609
943	10089	598
944	10099	587
945	10109	577
946	10119	566
947	10129	555
948	10139	544
949	10149	534
950	10160	523
951	10170	512
952	10181	502
953	10191	491
954	10201	480
955	10211	469
956	10221	459
957	10231	448
958	10242	437
959	10252	427
960	10262	416
961	10272	405
962	10282	395
963	10292	384
964	10302	373
965	10312	362
966	10322	352
967	10332	341
968	10342	330
969	10352	320
970	10363	309
971	10374	298
972	10384	288
973	10394	277
974	10404	266
975	10414	256
976	10424	245
977	10435	234
978	10447	224
979	10457	213
980	10468	202
981	10479	192
982	10490	181
983	10501	170
984	10513	160
985	10523	149
986	10534	138
987	10545	128
988	10557	117
989	10567	106
990	10579	96
991	10590	85
992	10600	74
993	10610	64
994	10620	53
995	10631	42
996	10641	32
997	10651	21
998	10661	10
999	10671	0
