iter	Logloss
0	0.6481627152
1	0.6025284319
2	0.5695282642
3	0.5342979296
4	0.501690579
5	0.4707828681
6	0.444236176
7	0.4189987059
8	0.3987535009
9	0.3775483491
10	0.3559055116
11	0.3357081752
12	0.3169743564
13	0.3021032917
14	0.2863074003
15	0.270324909
16	0.2592526461
17	0.2468783739
18	0.2364870225
19	0.2260617788
20	0.2156484357
21	0.2068615472
22	0.2006708274
23	0.1930753997
24	0.1852061369
25	0.1784113603
26	0.1730663058
27	0.1661461821
28	0.160641982
29	0.1565986218
30	0.1527789436
31	0.1482440389
32	0.1442742616
33	0.1409666022
34	0.1377276128
35	0.1351499743
36	0.1318581972
37	0.1288095427
38	0.1259458001
39	0.1234199062
40	0.1213878539
41	0.1190450801
42	0.1164836183
43	0.113742262
44	0.1123390746
45	0.1105838011
46	0.1083736685
47	0.1063463499
48	0.1049699405
49	0.103844758
50	0.1021235009
51	0.1005999626
52	0.09921524894
53	0.09776156344
54	0.09672241987
55	0.09557008567
56	0.09462141083
57	0.09336933847
58	0.09243058027
59	0.09168985353
60	0.09103147796
61	0.09002292353
62	0.0893775983
63	0.08842497754
64	0.08785898839
65	0.08696073638
66	0.08607650181
67	0.08527998308
68	0.08484715722
69	0.08414164625
70	0.08352334901
71	0.08286846365
72	0.08231105008
73	0.08196490017
74	0.08130962256
75	0.08057430937
76	0.0800547016
77	0.07932591461
78	0.07884733042
79	0.07831141107
80	0.07780738158
81	0.07733460695
82	0.07701971377
83	0.07665191
84	0.07631194531
85	0.0759304055
86	0.07554670216
87	0.07500875386
88	0.07460791229
89	0.07417425335
90	0.07375343767
91	0.07344337855
92	0.07305479934
93	0.0725761072
94	0.07225526928
95	0.0718715498
96	0.07146984756
97	0.07116854264
98	0.07080652946
99	0.07041704306
100	0.07000955308
101	0.06982644543
102	0.06935713244
103	0.06891450672
104	0.06848342799
105	0.06826613502
106	0.06794698452
107	0.06762981314
108	0.06741062719
109	0.06715128641
110	0.06674977016
111	0.0664460149
112	0.06608650302
113	0.06595116911
114	0.06567616335
115	0.06530245814
116	0.06504986014
117	0.06479973253
118	0.06456376926
119	0.06419264454
120	0.06383801691
121	0.06355894439
122	0.06337125312
123	0.06312763503
124	0.06290790632
125	0.06263051237
126	0.06242139334
127	0.06209577114
128	0.06186999982
129	0.06172860688
130	0.06158991868
131	0.06143468767
132	0.06111149872
133	0.06081340772
134	0.06052917117
135	0.06034409653
136	0.06024323664
137	0.06009987264
138	0.05975368052
139	0.05947189591
140	0.05923866559
141	0.0590799743
142	0.05885818368
143	0.05861700125
144	0.05837435298
145	0.0581220089
146	0.05794391429
147	0.05772288556
148	0.05749635515
149	0.05726917242
150	0.05698425197
151	0.05683066919
152	0.05671112
153	0.05654060911
154	0.05635159357
155	0.05609805566
156	0.05591804601
157	0.05564867497
158	0.0553896111
159	0.05516416976
160	0.05503333627
161	0.05490789146
162	0.05476216939
163	0.05458453911
164	0.05434263191
165	0.05422053008
166	0.05408595052
167	0.05381301972
168	0.05368553284
169	0.05348826399
170	0.05338124818
171	0.05324529306
172	0.0530793216
173	0.05281110355
174	0.05268759513
175	0.05257658097
176	0.05233687732
177	0.05203044158
178	0.05189187694
179	0.05178848499
180	0.05153015958
181	0.05133581153
182	0.05112621698
183	0.05098732554
184	0.0508426924
185	0.05077442784
186	0.05060310812
187	0.05040743487
188	0.05026031641
189	0.05015674663
190	0.04998457087
191	0.04981329623
192	0.04966840017
193	0.04956325321
194	0.04932934399
195	0.04914326081
196	0.04902517951
197	0.04887579961
198	0.04872931949
199	0.04858783215
200	0.04846531472
201	0.04832460057
202	0.04817749837
203	0.04798351257
204	0.04789194471
205	0.04775017597
206	0.04760691837
207	0.04750324421
208	0.04735136328
209	0.04718993806
210	0.04711010544
211	0.04696160103
212	0.04686799374
213	0.0467432634
214	0.04665917267
215	0.04645278068
216	0.046307072
217	0.04617532536
218	0.04602956117
219	0.04592436579
220	0.04579220719
221	0.04571566277
222	0.04558778167
223	0.04547862173
224	0.04537751409
225	0.04525682516
226	0.04511671379
227	0.04508481883
228	0.04496238168
229	0.04488671866
230	0.04477080403
231	0.04462297702
232	0.04443008333
233	0.04434066834
234	0.04417759139
235	0.04406746173
236	0.04395476338
237	0.04387209911
238	0.04375450609
239	0.0436017821
240	0.04353828662
241	0.0434320187
242	0.04326784801
243	0.04314680708
244	0.04302873183
245	0.04291374787
246	0.04274371416
247	0.04262348766
248	0.04244098977
249	0.04235129602
250	0.04224855118
251	0.04206044297
252	0.04199833576
253	0.04188647123
254	0.04175541288
255	0.04167999612
256	0.04161019461
257	0.04152053525
258	0.04131823546
259	0.04117078972
260	0.04108495517
261	0.04104160961
262	0.0409174984
263	0.04078951293
264	0.04068196452
265	0.04054748353
266	0.04049605837
267	0.04040905151
268	0.04036154342
269	0.04028447932
270	0.04021096446
271	0.04008086096
272	0.0400061393
273	0.03990061655
274	0.03973245573
275	0.03963246011
276	0.03958227693
277	0.03952990214
278	0.03947162997
279	0.03933365756
280	0.03926946591
281	0.03915509152
282	0.03909897411
283	0.03904792387
284	0.03893578347
285	0.03888452158
286	0.03879914805
287	0.03870698968
288	0.03864317044
289	0.03848787452
290	0.03842196703
291	0.03832302832
292	0.03816280782
293	0.03807979339
294	0.03795651453
295	0.03790965178
296	0.03776775043
297	0.03765030775
298	0.03749093042
299	0.03740218384
300	0.03731006279
301	0.03724761484
302	0.03720716893
303	0.03712472721
304	0.03701896138
305	0.03695834221
306	0.03686010007
307	0.03674620565
308	0.03667031593
309	0.03660214337
310	0.03655966594
311	0.03640608274
312	0.03630592928
313	0.03620641582
314	0.03606279615
315	0.03600465462
